year,binary,budget_2013$,domgross_2013$,intgross_2013$,NET 
2013,FAIL,13000000,25682380,42195766,29195766
2012,PASS,45658735,13611086,41467257,-4191478
2013,FAIL,20000000,53107035,158607035,138607035
2013,FAIL,61000000,75612460,132493015,71493015
2013,FAIL,40000000,95020213,95020213,55020213
2013,FAIL,225000000,38362475,145803842,-79196158
2013,FAIL,92000000,67349198,304249198,212249198
2013,PASS,12000000,15323921,87324746,75324746
2013,PASS,13000000,18007317,18007317,5007317
2013,FAIL,130000000,60522097,244373198,114373198
2013,PASS,40000000,148430908,249484909,209484909
2013,PASS,25000000,37304874,50304874,25304874
2013,PASS,50000000,19452138,55940671,5940671
2013,PASS,18000000,33345833,68447831,50447831
2013,FAIL,55000000,107136417,218743570,163743570
2013,PASS,30000000,35266619,85001659,55001659
2013,FAIL,78000000,119640264,271725448,193725448
2013,PASS,76000000,368065385,970766005,894766005
2013,FAIL,5500000,24477704,26377704,20877704
2013,PASS,120000000,93050117,286192091,166192091
2013,FAIL,110000000,61737191,89737191,-20262809
2013,PASS,100000000,107518682,268418682,168418682
2013,PASS,40000000,57012977,66454811,26454811
2013,FAIL,70000000,25213103,103813103,33813103
2013,PASS,17000000,54239856,97402049,80402049
2013,PASS,160000000,238679850,788128122,628128122
2013,PASS,150000000,393050114,1004550114,854550114
2013,PASS,140000000,122523060,371923060,231923060
2013,FAIL,60000000,46000903,104100903,44100903
2013,PASS,30000000,4167493,4967493,-25032507
2013,FAIL,110000000,271814796,708714796,598714796
2013,FAIL,80000000,133668525,247023808,167023808
2013,PASS,50000000,55703475,225703475,175703475
2013,FAIL,23000000,25000178,33029713,10029713
2013,FAIL,35000000,134506920,176269721,141269721
2013,FAIL,5000000,83586447,161911222,156911222
2013,FAIL,200000000,408992272,1212692272,1012692272
2013,FAIL,195000000,65187603,197387603,2387603
2013,PASS,28000000,28795985,60839197,32839197
2013,FAIL,28000000,63914167,112914167,84914167
2013,PASS,30000000,116632095,151513429,121513429
2013,PASS,2000000,8008161,9408161,7408161
2013,PASS,15000000,71628180,148041253,133041253
2013,PASS,225000000,291045518,687999518,462999518
2013,PASS,12000000,17482517,17482517,5482517
2013,FAIL,75000000,117723989,351723989,276723989
2013,FAIL,120000000,89107235,287537983,167537983
2013,FAIL,70000000,98927592,150562164,80562164
2013,PASS,200000000,234770996,489570996,289570996
2013,FAIL,190000000,101802906,411002906,221002906
2013,FAIL,26000000,49875291,81275291,55275291
2013,PASS,35000000,17616641,46346651,11346651
2013,FAIL,15000000,9177065,9177065,-5822935
2013,PASS,90000000,68559554,200859554,110859554
2013,PASS,46000000,61002302,113402302,67402302
2013,FAIL,130000000,33618855,79019947,-50980053
2013,PASS,84000000,53262560,137162560,53162560
2013,FAIL,38000000,42025135,92425135,54425135
2013,FAIL,30000000,19316646,62616646,32616646
2013,FAIL,38000000,26947624,43047624,5047624
2013,PASS,28000000,71399120,93943623,65943623
2013,PASS,35000000,82834332,100734332,65734332
2013,PASS,30000000,32172757,60288363,30288363
2013,FAIL,190000000,228778661,466978661,276978661
2013,PASS,20000000,34341945,39093317,19093317
2013,PASS,32500000,21819348,35770721,3270721
2013,PASS,19000000,21345525,62045525,43045525
2013,PASS,13000000,51872378,58938768,45938768
2013,PASS,20000000,137400141,318000141,298000141
